SIPARIS_ADEDI,GIYSI_GRUBU,GIYSI_CINSI,GIYSI_CINSI_DETAYI,UretimID,ModelAdi,PersonelNo,ModelTipAdi,OperAdi,MakinaTipi,Uretim,Etut,BirimUretimZamani
29172,BAYAN,Elbise,Kısa kollu elbise,118385,2222546 BEGOTANA ELBISE,155,ELBISE,OMUZ ÇATMA,OVERLOK,1018,24.0,24.53
46432,ÇOCUK,Elbise,Askılı elbise,134717,2218178 ASKILI BÜRÜMCÜK ELBISE,24,ELBISE,ÖN ARKA TULUM,REÇME,1526,27.0,24.52
14402,ÇOCUK,Sweatshirt,Kapşonsuz,153265,CVKW24SGPAR-CPL95 BASKILI SWEAT,588,T-SHIRT,YAKA BASMA,DÜZ,1503,24.0,24.52
13564,BAYAN,T-Shirt,Kısa Kol,112853,2222514 GIZELLI TEK KOLLI TSHIRT,333,T-SHIRT,IPLIK TEMIZLEME,IPLIK TEMIZLEME,1489,20.0,24.51
14170,ÇOCUK,Sweatshirt,Kapşonsuz,105597,CVKS24SSP22-BVE32 SWEATSHIRT,178,T-SHIRT,FIRFIR DANTEL KAPTMA,DÜZ,1077,22.5,24.51
9158,BAYAN,T-Shirt,Uzun Kol,140562,CDKW24HBARG -CLP12,510,T-SHIRT,SON KALITE KONTROL,MANUEL,1034,25.0,24.51
29172,BAYAN,Elbise,Kısa kollu elbise,118586,2222546 BEGOTANA ELBISE,243,ELBISE,TALIMAT TAKMA,DÜZ,1285,20.0,24.5
8650,BAYAN,Elbise,Kısa kollu elbise,124171,HVLS24RTURQ CET84 HAMILE ELBISESI,446,ELBISE,DAMLA V TUTTURMA,DÜZ,1271,20.0,24.5
14170,ÇOCUK,Sweatshirt,Kapşonsuz,104402,CVKS24SSP22-BVE32 SWEATSHIRT,497,T-SHIRT,FIRFIR REGÜLE,DÜZ,1035,20.0,24.5
11635,BAYAN,Tulum,Kısa Kollu Tulum,124650,2223370 DILAMON ELBISE,317,ELBISE,FIRMA ETIKET TAKMA,DÜZ,774,20.0,24.49
22113,ÇOCUK,Elbise,3/4 kol,107049,SBKS24DSPO2-BUB59 ELBISE,499,ELBISE,IPLIK TEMIZLEME,IPLIK TEMIZLEME,1466,20.0,24.49
14170,ÇOCUK,Sweatshirt,Kapşonsuz,104572,CVKS24SSP22-BVE32 SWEATSHIRT,373,T-SHIRT,OMUZ ÇATMA,OVERLOK,1503,24.0,24.48
5194,ÇOCUK,Elbise,Kolsuz elbise,124781,2225757-2LI BÜRÜMCEK ELBISE,490,ELBISE,FIRMA ETIKET TAKMA,DÜZ,367,15.0,24.48
46432,ÇOCUK,Elbise,Askılı elbise,130256,2218178 ASKILI BÜRÜMCÜK ELBISE,44,ELBISE,FIRMA ETIKET TAKMA,DÜZ,1274,20.0,24.48
46432,ÇOCUK,Elbise,Askılı elbise,136938,2218178 ASKILI BÜRÜMCÜK ELBISE,201,ELBISE,ÖN ARKA ÇIMA,REÇME,1233,21.0,24.47
4637,BAYAN,Elbise,Kolsuz elbise,122309,2222617 BARILAN ELBISE,317,ELBISE,FIRMA ETIKET TAKMA,DÜZ,685,21.0,24.47
9476,BAYAN,Elbise,uzun kollu elbise,146562,CDKW24DTURQ-CLP18 SIYAH ELBISE,459,ELBISE,KOL REÇME,REÇME,1163,26.0,24.47
9158,BAYAN,T-Shirt,Uzun Kol,141584,CDKW24HBARG -CLP12,430,T-SHIRT,KOL KISTIRMA,DÜZ,890,20.0,24.47
46432,ÇOCUK,Elbise,Askılı elbise,129132,2218178 ASKILI BÜRÜMCÜK ELBISE,51,ELBISE,ASKILIK TUTTURMA,DÜZ,271,20.0,24.46
14402,ÇOCUK,Sweatshirt,Kapşonsuz,153496,CVKW24SGPAR-CPL95 BASKILI SWEAT,472,T-SHIRT,OMUZ ÇATMA,OVERLOK,1536,24.0,24.46
46432,ÇOCUK,Elbise,Askılı elbise,129046,2218178 ASKILI BÜRÜMCÜK ELBISE,155,ELBISE,ARKA KOL EVI TULUM,OVERLOK,981,22.5,24.46
14170,ÇOCUK,Sweatshirt,Kapşonsuz,105153,CVKS24SSP22-BVE32 SWEATSHIRT,142,T-SHIRT,DANTEL V TUTTURMA,DÜZ,1522,20.0,24.46
22113,ÇOCUK,Elbise,3/4 kol,108923,SBKS24DSPO2-BUB59 ELBISE,23,ELBISE,ARKA V TUTTURMA,DÜZ,741,18.0,24.46
14170,ÇOCUK,Sweatshirt,Kapşonsuz,103725,CVKS24SSP22-BVE32 SWEATSHIRT,142,T-SHIRT,DANTEL V TUTTURMA,DÜZ,1161,20.0,24.45
20625,ÇOCUK,T-Shirt,Kısa Kol,109613,2219642 VARAK BASKILI T-SHIRT,372,T-SHIRT,YAKA TAKMA,OVERLOK,731,22.5,24.45
9143,BAYAN,Elbise,Kısa kollu elbise,138341,ARLW24RBATO MATERNITY HAMILE ELBISE,286,ELBISE,ILIK AÇMA,ILIK MAKINESI,1160,24.0,24.45
46432,ÇOCUK,Elbise,Askılı elbise,128159,2218178 ASKILI BÜRÜMCÜK ELBISE,192,ELBISE,SON KALITE KONTROL,MANUEL,16,15.0,24.44
12711,ÇOCUK,T-Shirt,Kısa Kol,117988,2225749 KROSE YAKALI SHIRT,171,T-SHIRT,SON KALITE KONTROL,MANUEL,1322,20.0,24.44
12711,ÇOCUK,T-Shirt,Kısa Kol,117365,2225749 KROSE YAKALI SHIRT,373,T-SHIRT,OMUZ ÇATMA,OVERLOK,1517,18.0,24.44
46432,ÇOCUK,Elbise,Askılı elbise,128464,2218178 ASKILI BÜRÜMCÜK ELBISE,92,ELBISE,KOL EVI ÇIMA,DÜZ,449,21.0,24.44
27981,BAYAN,T-Shirt,Kısa Kol,116219,2222518 AMBER CEPLI T-SHIRT,458,T-SHIRT,KOL KISTIRMA,DÜZ,1299,24.0,24.44
22113,ÇOCUK,Elbise,3/4 kol,109105,SBKS24DSPO2-BUB59 ELBISE,462,ELBISE,ETEK REÇME,REÇME,1297,18.0,24.43
8650,BAYAN,Elbise,Kısa kollu elbise,124638,HVLS24RTURQ CET84 HAMILE ELBISESI,178,ELBISE,ÖN ORTA ÜST PRÇA TKM,OVERLOK,1301,24.0,24.43
27981,BAYAN,T-Shirt,Kısa Kol,111645,2222518 AMBER CEPLI T-SHIRT,249,T-SHIRT,TALIMAT TAKMA,DÜZ,1330,18.0,24.43
14162,BAYAN,T-Shirt,Uzun Kol,103189,CDKS24HDONU-BXA79 T-SHIRT,514,T-SHIRT,TALIMAT TAKMA,DÜZ,1303,20.0,24.43
46432,ÇOCUK,Elbise,Askılı elbise,128675,2218178 ASKILI BÜRÜMCÜK ELBISE,92,ELBISE,KOL ÇIMA,OVERLOK,607,21.0,24.43
46432,ÇOCUK,Elbise,Askılı elbise,128588,2218178 ASKILI BÜRÜMCÜK ELBISE,117,ELBISE,ARKA KOL EVI ÇIMA,OVERLOK,1283,20.0,24.42
20625,ÇOCUK,T-Shirt,Kısa Kol,108906,2219642 VARAK BASKILI T-SHIRT,467,T-SHIRT,OMUZ ÇATMA,OVERLOK,1266,24.0,24.42
