UretimID,ModelAdi,PersonelNo,ModelTipAdi,OperAdi,MakinaTipi,Uretim,Etut,BirimUretimZamani
133,2218178 ASKILI BÜRÜMCÜK ELBISE,133,ELBISE,BEL ÜSTÜ GAZI,REÇME,2,33.0,777.5
506,2220847 BEGONIA BLUZ,506,T-SHIRT,BEDEN ÜTÜ,ÜTÜ,10,30.0,758.4
513,2226835 CHAIKA BLUZ,513,T-SHIRT,FIRMA ETIKET TAKMA,DÜZ,41,16.0,753.66
150,CDKS24HCARE - CLQ04 TSHIRT,150,T-SHIRT,BEDEN ÜTÜ,ÜTÜ,36,27.0,720.5
487,CVKS24SSP22-BVE32 SWEATSHIRT,487,T-SHIRT,YAKA TAKMA,OVERLOK,1,20.0,693.0
595,2228285 CARRIE ELBISE,595,ELBISE,YAN ÇATMA,OVERLOK,34,36.0,665.06
204,SBKS24DSPO2-BUB59 ELBISE,204,ELBISE,KOL AGZI GAZI,DÜZ,10,30.0,648.3
404,2222582 COMPONI,404,ELBISE,ÜRÜN ASKI TAKMA,MANUEL,4,8.0,646.75
46,2222582 COMPONI,46,ELBISE,KOL TAKMA,OVERLOK,28,80.0,644.43
121,CVKS24SSP22-BVE32 SWEATSHIRT,121,T-SHIRT,YAN ÇATMA,OVERLOK,15,36.0,639.53
396,2225749 KROSE YAKALI SHIRT,396,T-SHIRT,TALIMAT TAKMA,DÜZ,44,20.0,632.8
387,2228557 JISSO ELBISE,387,ELBISE,ARKA ORTA ÇATMA,DÜZ,8,24.0,617.0
64,2222546 BEGOTANA ELBISE,64,ELBISE,ÖN KALITE KONTROL,MANUEL,28,60.0,611.68
65,CVKS24SSP22-BVE32 SWEATSHIRT,65,T-SHIRT,KOL MANSET TAKMA,OVERLOK,9,30.0,607.0
384,2230347 KAPSONLU SWEAT,384,T-SHIRT,SON KALITE KONTROL,MANUEL,1,15.0,602.0
12,2223370 DILAMON ELBISE,12,ELBISE,KOL TAKMA,OVERLOK,1,48.0,601.0
308,2218178 ASKILI BÜRÜMCÜK ELBISE,308,ELBISE,LASTIK TAKMA,DÜZ,32,36.0,599.16
480,CDKW24HDNDR KIRMIZI TSHIRT,480,T-SHIRT,ÖN KALITE KONTROL,MANUEL,43,48.0,591.98
553,2229267 SALOPET SET,553,ELBISE,ARKA LASTIK TAKMA,OVERLOK,12,8.0,591.67
116,MSBS24HMACR-BXC21 BABY TSHIRT,116,T-SHIRT,TALIMAT HAZIRLIK,DÜZ,16,4.0,584.19
537,2223370 DILAMON ELBISE,537,ELBISE,IÇ AG ÇATMA,OVERLOK,11,40.0,572.09
214,2228285 CARRIE ELBISE,214,ELBISE,ÖN KALITE KONTROL,MANUEL,43,36.0,557.95
515,2225757-2LI BÜRÜMCEK ELBISE,515,ELBISE,ETEK REÇME,REÇME,2,23.0,543.5
372,2225249 BUBBLE TEE T-SHIRT,372,T-SHIRT,YAKA TAKMA,OVERLOK,1,22.5,541.0
607,2229267 SALOPET SET,607,ELBISE,TALIMAT HAZIRLIK,DÜZ,60,10.0,539.43
454,2226835 CHAIKA BLUZ,454,T-SHIRT,BEDEN ÜTÜ,ÜTÜ,58,27.0,524.24
