iter	Passed	Remaining
158	788	4172
159	793	4167
160	798	4162
161	803	4158
162	809	4155
163	814	4150
164	818	4144
165	824	4140
166	829	4135
167	833	4128
168	838	4123
169	843	4117
170	848	4113
171	853	4107
172	858	4102
173	863	4098
174	868	4093
175	873	4087
176	878	4083
177	883	4080
178	888	4074
179	893	4069
180	898	4065
181	903	4061
182	908	4054
183	913	4049
184	918	4044
185	923	4040
186	928	4037
187	933	4033
188	939	4029
189	944	4024
190	948	4019
191	953	4013
192	958	4006
193	963	4001
194	967	3995
195	972	3990
196	977	3984
197	982	3980
198	987	3974
199	992	3968
200	996	3961
201	1000	3953
202	1005	3945
203	1009	3937
204	1013	3930
205	1017	3922
206	1021	3914
207	1026	3907
208	1030	3899
209	1034	3890
210	1038	3882
211	1042	3874
212	1046	3868
213	1051	3860
214	1055	3854
215	1059	3846
216	1063	3838
217	1068	3831
218	1072	3824
219	1077	3819
220	1082	3814
221	1086	3808
222	1091	3803
223	1096	3798
224	1101	3794
225	1106	3788
226	1111	3784
227	1116	3779
228	1120	3773
229	1126	3769
230	1130	3764
231	1135	3759
232	1140	3754
233	1144	3747
234	1149	3742
235	1154	3736
236	1158	3730
237	1163	3725
238	1168	3719
239	1172	3712
240	1177	3707
241	1182	3703
242	1186	3697
243	1191	3691
244	1196	3686
245	1201	3681
246	1205	3675
247	1210	3669
248	1215	3665
249	1219	3659
250	1224	3653
251	1228	3646
252	1232	3638
253	1236	3631
254	1240	3624
255	1244	3616
256	1248	3609
257	1252	3602
258	1256	3595
259	1260	3587
260	1264	3580
261	1268	3573
262	1272	3565
263	1276	3559
264	1280	3551
265	1284	3544
266	1288	3537
267	1292	3530
268	1296	3523
269	1301	3518
270	1305	3511
271	1309	3505
272	1314	3499
273	1318	3493
274	1322	3487
275	1327	3481
276	1331	3474
277	1335	3468
278	1339	3461
279	1343	3455
280	1347	3448
281	1352	3442
282	1356	3437
283	1361	3433
284	1366	3429
285	1371	3424
286	1376	3420
287	1381	3416
288	1386	3411
289	1391	3407
290	1396	3402
291	1401	3398
292	1406	3393
293	1411	3390
294	1416	3386
295	1421	3381
296	1426	3377
297	1431	3373
298	1436	3368
299	1441	3363
300	1446	3360
301	1451	3355
302	1456	3350
303	1461	3345
304	1466	3341
305	1471	3337
306	1476	3333
307	1481	3328
308	1486	3324
309	1491	3320
310	1496	3315
311	1500	3309
312	1505	3304
313	1510	3299
314	1514	3293
315	1519	3288
316	1523	3282
317	1527	3276
318	1532	3270
319	1536	3264
320	1540	3258
321	1544	3252
322	1548	3246
323	1553	3240
324	1557	3235
325	1562	3229
326	1566	3223
327	1570	3217
328	1574	3211
329	1579	3206
330	1583	3200
331	1587	3194
332	1591	3188
333	1596	3182
334	1600	3176
335	1605	3172
336	1609	3166
337	1614	3161
338	1618	3155
339	1622	3149
340	1626	3143
341	1631	3138
342	1635	3132
343	1639	3127
344	1644	3122
345	1649	3117
346	1654	3113
347	1659	3108
348	1663	3103
349	1668	3098
350	1673	3093
351	1678	3089
352	1683	3084
353	1687	3079
354	1692	3075
355	1697	3071
356	1702	3066
357	1707	3062
358	1712	3057
359	1717	3052
360	1721	3047
361	1726	3043
362	1731	3039
363	1736	3033
364	1741	3028
365	1746	3024
366	1751	3021
367	1756	3016
368	1760	3011
369	1765	3006
370	1770	3002
371	1775	2997
372	1780	2992
373	1784	2987
374	1789	2981
375	1793	2976
376	1798	2972
377	1802	2966
378	1806	2960
379	1811	2954
380	1815	2949
381	1819	2943
382	1823	2938
383	1828	2932
384	1831	2926
385	1836	2920
386	1839	2914
387	1843	2908
388	1848	2902
389	1852	2896
390	1856	2890
391	1860	2885
392	1864	2879
393	1867	2872
394	1871	2867
395	1875	2860
396	1879	2854
397	1883	2849
398	1887	2843
399	1891	2837
400	1895	2831
401	1899	2825
402	1903	2820
403	1907	2814
404	1911	2808
405	1915	2802
406	1919	2796
407	1923	2791
408	1927	2785
409	1931	2779
410	1935	2774
411	1940	2769
412	1944	2764
413	1949	2759
414	1953	2754
415	1957	2748
416	1962	2743
417	1966	2738
418	1970	2732
419	1975	2727
420	1979	2722
421	1983	2716
422	1987	2711
423	1992	2706
424	1998	2703
425	2002	2698
426	2006	2692
427	2010	2687
428	2015	2682
429	2019	2677
430	2023	2671
431	2028	2667
432	2033	2662
433	2038	2658
434	2043	2654
435	2048	2649
436	2053	2645
437	2057	2640
438	2062	2635
439	2067	2630
440	2071	2625
441	2076	2621
442	2080	2616
443	2085	2611
444	2089	2606
445	2094	2601
446	2098	2596
447	2103	2591
448	2107	2586
449	2112	2582
450	2117	2577
451	2121	2571
452	2125	2566
453	2130	2561
454	2134	2556
455	2138	2551
456	2142	2545
457	2147	2540
458	2151	2535
459	2156	2530
460	2160	2525
461	2165	2521
462	2169	2515
463	2173	2510
464	2178	2506
465	2182	2501
466	2187	2497
467	2192	2492
468	2197	2487
469	2201	2482
470	2206	2478
471	2211	2474
472	2216	2469
473	2221	2464
474	2225	2460
475	2230	2455
476	2235	2451
477	2240	2446
478	2245	2442
479	2250	2437
480	2254	2432
481	2259	2428
482	2264	2423
483	2268	2418
484	2273	2413
485	2277	2409
486	2282	2403
487	2286	2398
488	2291	2394
489	2295	2389
490	2300	2384
491	2304	2379
492	2309	2374
493	2313	2370
494	2318	2365
495	2323	2360
496	2327	2355
497	2332	2350
498	2336	2345
499	2340	2340
500	2345	2335
501	2349	2331
502	2354	2326
503	2359	2321
504	2363	2316
505	2367	2311
506	2372	2306
507	2376	2301
508	2380	2296
509	2384	2291
510	2388	2286
511	2392	2280
512	2396	2275
513	2400	2269
514	2404	2264
515	2408	2259
516	2413	2254
517	2417	2249
518	2420	2243
519	2424	2238
520	2428	2233
521	2432	2227
522	2436	2222
523	2440	2217
524	2445	2212
525	2449	2206
526	2453	2201
527	2457	2196
528	2460	2190
529	2464	2185
530	2468	2180
531	2472	2175
532	2476	2170
533	2480	2164
534	2485	2159
535	2489	2154
536	2493	2149
537	2497	2144
538	2501	2139
539	2506	2134
540	2510	2129
541	2514	2124
542	2518	2119
543	2522	2114
544	2527	2109
545	2531	2105
546	2535	2100
547	2540	2095
548	2544	2090
549	2549	2085
550	2553	2080
551	2558	2076
552	2562	2071
553	2567	2066
554	2571	2061
555	2576	2057
556	2580	2052
557	2585	2047
558	2589	2043
559	2593	2038
560	2597	2032
561	2601	2027
562	2606	2022
563	2609	2017
564	2614	2012
565	2618	2007
566	2622	2002
567	2626	1997
568	2630	1992
569	2635	1987
570	2639	1983
571	2643	1978
572	2647	1973
573	2652	1968
574	2656	1963
575	2660	1958
576	2664	1953
577	2669	1948
578	2673	1943
579	2677	1938
580	2681	1933
581	2685	1928
582	2689	1923
583	2694	1919
584	2699	1914
585	2703	1909
586	2707	1904
587	2711	1899
588	2716	1895
589	2720	1890
590	2724	1885
591	2729	1881
592	2734	1876
593	2739	1872
594	2743	1867
595	2748	1863
596	2753	1858
597	2758	1854
598	2763	1849
599	2767	1845
600	2772	1840
601	2776	1835
602	2781	1831
603	2785	1826
604	2790	1821
605	2795	1817
606	2799	1812
607	2804	1807
608	2808	1803
609	2812	1798
610	2817	1793
611	2821	1788
612	2825	1784
613	2830	1779
614	2834	1774
615	2838	1769
616	2843	1764
617	2846	1759
618	2850	1754
619	2854	1749
620	2858	1744
621	2862	1739
622	2866	1734
623	2870	1729
624	2874	1724
625	2878	1719
626	2882	1714
627	2886	1709
628	2890	1704
629	2894	1699
630	2898	1694
631	2902	1689
632	2906	1684
633	2910	1679
634	2914	1675
635	2918	1670
636	2923	1665
637	2927	1661
638	2931	1656
639	2935	1651
640	2939	1646
641	2943	1641
642	2947	1636
643	2951	1631
644	2955	1626
645	2960	1622
646	2964	1617
647	2968	1612
648	2972	1607
649	2976	1602
650	2980	1597
651	2984	1592
652	2988	1587
653	2992	1583
654	2996	1578
655	2999	1573
656	3003	1568
657	3007	1563
658	3012	1558
659	3016	1554
660	3021	1549
661	3025	1544
662	3029	1539
663	3033	1535
664	3037	1530
665	3042	1525
666	3046	1521
667	3050	1516
668	3055	1511
669	3059	1506
670	3063	1502
671	3067	1497
672	3071	1492
673	3075	1487
674	3079	1482
675	3083	1478
676	3087	1473
677	3092	1468
678	3096	1463
679	3100	1459
680	3105	1454
681	3109	1449
682	3114	1445
683	3118	1440
684	3122	1435
685	3127	1431
686	3131	1426
687	3135	1422
688	3140	1417
689	3144	1412
690	3148	1408
691	3152	1403
692	3157	1398
693	3161	1393
694	3165	1389
695	3169	1384
696	3173	1379
697	3178	1375
698	3181	1370
699	3185	1365
700	3190	1360
701	3194	1355
702	3198	1351
703	3202	1346
704	3206	1341
705	3211	1337
706	3215	1332
707	3219	1327
708	3223	1323
709	3227	1318
710	3231	1313
711	3235	1308
712	3239	1304
713	3243	1299
714	3248	1294
715	3252	1290
716	3256	1285
717	3260	1280
718	3264	1275
719	3268	1271
720	3272	1266
721	3276	1261
722	3280	1256
723	3284	1252
724	3289	1247
725	3294	1243
726	3298	1238
727	3302	1233
728	3307	1229
729	3311	1224
730	3316	1220
731	3321	1215
732	3325	1211
733	3330	1206
734	3335	1202
735	3339	1197
736	3344	1193
737	3349	1189
738	3354	1184
739	3359	1180
740	3364	1175
741	3369	1171
742	3374	1167
743	3378	1162
744	3383	1158
745	3388	1153
746	3393	1149
747	3397	1144
748	3402	1140
749	3407	1135
750	3412	1131
751	3417	1126
752	3421	1122
753	3426	1117
754	3431	1113
755	3436	1109
756	3440	1104
757	3445	1100
758	3450	1095
759	3455	1091
760	3459	1086
761	3464	1082
762	3469	1077
763	3474	1073
764	3479	1069
765	3484	1064
766	3489	1059
767	3493	1055
768	3498	1050
769	3503	1046
770	3507	1041
771	3511	1037
772	3516	1032
773	3520	1027
774	3524	1023
775	3528	1018
776	3532	1013
777	3536	1009
778	3541	1004
779	3545	999
780	3549	995
781	3554	990
782	3558	986
783	3562	981
784	3566	976
785	3571	972
786	3575	967
787	3579	962
788	3583	958
789	3587	953
790	3591	949
791	3596	944
792	3600	939
793	3604	935
794	3608	930
795	3612	925
796	3617	921
797	3622	916
798	3626	912
799	3630	907
800	3635	903
801	3639	898
802	3643	893
803	3648	889
804	3652	884
805	3656	880
806	3660	875
807	3664	870
808	3668	866
809	3672	861
810	3677	857
811	3681	852
812	3686	847
813	3690	843
814	3694	838
815	3698	834
816	3703	829
817	3707	824
818	3711	820
819	3715	815
820	3719	811
821	3724	806
822	3728	801
823	3732	797
824	3736	792
825	3740	787
826	3744	783
827	3748	778
828	3752	773
829	3756	769
830	3759	764
831	3763	760
832	3768	755
833	3771	750
834	3775	746
835	3779	741
836	3784	736
837	3788	732
838	3792	727
839	3796	723
840	3800	718
841	3804	713
842	3808	709
843	3812	704
844	3816	700
845	3820	695
846	3824	690
847	3828	686
848	3832	681
849	3836	676
850	3840	672
851	3844	667
852	3848	663
853	3851	658
854	3855	653
855	3859	649
856	3863	644
857	3867	640
858	3871	635
859	3875	630
860	3879	626
861	3883	621
862	3888	617
863	3892	612
864	3896	608
865	3900	603
866	3904	599
867	3909	594
868	3913	589
869	3916	585
870	3920	580
871	3925	576
872	3929	571
873	3933	567
874	3937	562
875	3941	557
876	3945	553
877	3949	548
878	3953	544
879	3957	539
880	3961	535
881	3965	530
882	3969	525
883	3973	521
884	3977	516
885	3981	512
886	3985	507
887	3990	503
888	3994	498
889	3998	494
890	4002	489
891	4006	485
892	4010	480
893	4015	476
894	4019	471
895	4023	466
896	4027	462
897	4031	457
898	4034	453
899	4038	448
900	4042	444
901	4046	439
902	4050	435
903	4054	430
904	4058	426
905	4062	421
906	4066	417
907	4071	412
908	4075	407
909	4079	403
910	4083	398
911	4087	394
912	4091	389
913	4095	385
914	4099	380
915	4103	376
916	4107	371
917	4110	367
918	4114	362
919	4119	358
920	4123	353
921	4127	349
922	4131	344
923	4135	340
924	4139	335
925	4143	331
926	4147	326
927	4151	322
928	4155	317
929	4159	313
930	4163	308
931	4167	304
932	4171	299
933	4175	295
934	4179	290
935	4183	286
936	4188	281
937	4192	277
938	4196	272
939	4201	268
940	4206	263
941	4211	259
942	4216	254
943	4221	250
944	4226	245
945	4231	241
946	4236	237
947	4242	232
948	4247	228
949	4252	223
950	4257	219
951	4262	214
952	4268	210
953	4273	206
954	4278	201
955	4283	197
956	4288	192
957	4293	188
958	4299	183
959	4303	179
960	4308	174
961	4313	170
962	4318	165
963	4323	161
964	4328	157
965	4333	152
966	4338	148
967	4343	143
968	4348	139
969	4353	134
970	4357	130
971	4362	125
972	4367	121
973	4372	116
974	4377	112
975	4382	107
976	4387	103
977	4392	98
978	4396	94
979	4401	89
980	4406	85
981	4411	80
982	4415	76
983	4420	71
984	4425	67
985	4430	62
986	4434	58
987	4439	53
988	4444	49
989	4448	44
990	4452	40
991	4456	35
992	4461	31
993	4465	26
994	4469	22
995	4473	17
996	4478	13
997	4482	8
998	4487	4
999	4491	0
